1.0	430.0	360.0	510.0
2.0	358.0	340.0	375.0
2.7	276.0	260.0	292.0
3.0	468.0	200.0	800.0
3.4	358.0	340.0	375.0
4.0	80.0	0.1	267.0
4.0	355.0	306.0	811.0
4.0	363.0	345.0	380.0
4.6	270.0	255.0	285.0
5.0	261.0	240.0	331.0
5.0	324.0	164.0	484.0
5.1	358.0	340.0	375.0
5.2	304.0	289.0	320.0
5.2	328.0	311.0	345.0
5.3	229.0	217.0	243.0
6.0	239.0	221.0	303.0
6.0	249.0	229.0	315.0
6.0	252.0	233.0	319.0
6.0	292.0	132.0	452.0
7.0	148.0	0.1	388.0
7.0	242.0	223.0	306.0
7.0	264.0	243.0	334.0
7.0	278.0	256.0	356.0
7.2	270.0	255.0	285.0
7.4	304.0	288.0	320.0
7.8	201.0	190.0	212.0
8.0	133.0	0.1	267.0
8.0	230.0	212.0	292.0
8.0	237.0	218.0	301.0
8.0	340.0	285.0	400.0
8.2	206.0	195.0	216.0
8.5	350.0	340.0	360.0
8.6	237.0	221.0	252.0
9.0	204.0	44.0	364.0
9.0	227.0	209.0	287.0
9.0	228.0	212.0	244.0
9.0	247.0	228.0	313.0
9.0	268.0	247.0	342.0
9.4	224.0	207.0	242.0
9.9	233.0	21.0	253.0
10.0	205.0	188.0	259.0
10.0	234.0	216.0	296.0
10.0	235.0	217.0	296.0
10.0	243.0	225.0	307.0
10.0	244.0	225.0	309.0
10.0	245.0	226.0	310.0
10.0	247.0	227.0	312.0
10.0	251.0	231.0	318.0
10.0	255.0	235.0	323.0
10.0	258.0	238.0	327.0
10.0	263.0	243.0	334.0
10.0	448.0	288.0	608.0
10.0	468.0	308.0	628.0
10.5	370.0	350.0	390.0
11.0	204.0	188.0	255.0
11.0	211.0	194.0	266.0
11.0	220.0	203.0	277.0
11.0	223.0	206.0	280.0
11.0	228.0	210.0	287.0
11.0	232.0	214.0	293.0
11.0	238.0	220.0	300.0
11.0	246.0	227.0	311.0
11.0	510.0	425.0	575.0
11.6	332.0	166.0	664.0
12.0	202.0	186.0	254.0
12.0	208.0	191.0	261.0
12.0	213.0	196.0	268.0
12.0	213.0	196.0	269.0
12.0	225.0	207.0	284.0
12.0	245.0	226.0	310.0
